Filename                                             Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
layer1/architecture/parasitic_architecture.rs            121                 0   100.00%           4                 0   100.00%         118                 0   100.00%           0                 0         -
layer1/architecture/resonant_architecture.rs             144                 4    97.22%           6                 0   100.00%         131                 4    96.95%           0                 0         -
layer1/architecture/room_quality.rs                      380                41    89.21%          13                 0   100.00%         206                30    85.44%           0                 0         -
layer1/architecture/ruins.rs                             151                14    90.73%           3                 0   100.00%          99                 4    95.96%           0                 0         -
layer1/architecture/smart_matter.rs                      143                 0   100.00%           5                 0   100.00%         113                 0   100.00%           0                 0         -
layer1/architecture/spontaneous_architecture.rs          363                10    97.25%           9                 0   100.00%         269                 7    97.40%           0                 0         -
layer1/architecture/structure.rs                         410                32    92.20%          17                 0   100.00%         314                25    92.04%           0                 0         -
layer1/architecture/sunk_cost_monument.rs                166                 8    95.18%           8                 1    87.50%         132                 5    96.21%           0                 0         -
layer1/architecture/symbiotic_infrastructure.rs           77                 2    97.40%           5                 0   100.00%          79                 1    98.73%           0                 0         -
layer1/architecture/turret.rs                            311                16    94.86%          14                 1    92.86%         317                 8    97.48%           0                 0         -
layer1/architecture/window.rs                            348                 3    99.14%          10                 0   100.00%         266                 3    98.87%           0                 0         -
layer1/architecture_sentience.rs                          89                 6    93.26%           5                 0   100.00%          99                 9    90.91%           0                 0         -
layer1/architecture_superstition.rs                       90                 2    97.78%           4                 0   100.00%          76                 1    98.68%           0                 0         -
layer1/artists_muse.rs                                   154                 7    95.45%           4                 0   100.00%         123                 6    95.12%           0                 0         -
layer1/beauty.rs                                         364                10    97.25%          15                 0   100.00%         240                 6    97.50%           0                 0         -
layer1/biography.rs                                      160                15    90.62%           9                 1    88.89%         119                14    88.24%           0                 0         -
layer1/biology/addiction.rs                              187                 3    98.40%           9                 0   100.00%         154                 1    99.35%           0                 0         -
layer1/biology/agony_extract.rs                           75                 3    96.00%           5                 1    80.00%          78                 2    97.44%           0                 0         -
layer1/biology/biocompatibility.rs                       184                13    92.93%           7                 0   100.00%         134                 6    95.52%           0                 0         -
layer1/biology/chromotaxis.rs                            150                 1    99.33%           5                 0   100.00%         156                 0   100.00%           0                 0         -
layer1/biology/clone_vat.rs                              249                15    93.98%           9                 0   100.00%         189                10    94.71%           0                 0         -
layer1/biology/contagion.rs                              161                 0   100.00%           5                 0   100.00%         163                 0   100.00%           0                 0         -
layer1/biology/cryo_shock.rs                              96                 0   100.00%           7                 0   100.00%          89                 0   100.00%           0                 0         -
layer1/biology/cybernetic_ascendancy.rs                  119                 1    99.16%           6                 0   100.00%         112                 0   100.00%           0                 0         -
layer1/biology/cybernetics.rs                            185                10    94.59%           8                 0   100.00%         158                 5    96.84%           0                 0         -
layer1/biology/gene_bank.rs                              254                12    95.28%          11                 1    90.91%         188                11    94.15%           0                 0         -
layer1/biology/genetics/crop_modification.rs              77                 3    96.10%           4                 0   100.00%          63                 2    96.83%           0                 0         -
layer1/biology/genetics/mod.rs                           154                11    92.86%           4                 0   100.00%         123                10    91.87%           0                 0         -
layer1/biology/genetics/splicers_dilemma.rs              151                 6    96.03%           6                 0   100.00%         101                 3    97.03%           0                 0         -
layer1/biology/grafting.rs                                74                 1    98.65%           2                 0   100.00%          50                 0   100.00%           0                 0         -
layer1/biology/gravity_caste.rs                          147                24    83.67%           4                 0   100.00%         117                18    84.62%           0                 0         -
layer1/biology/gut_biome.rs                              186                 2    98.92%          12                 0   100.00%         119                 2    98.32%           0                 0         -
layer1/biology/health.rs                                  71                 7    90.14%           9                 0   100.00%          53                 4    92.45%           0                 0         -
layer1/biology/medical.rs                                324                46    85.80%          12                 1    91.67%         271                31    88.56%           0                 0         -
layer1/biology/rust_lung.rs                              182                 1    99.45%           6                 0   100.00%         123                 1    99.19%           0                 0         -
layer1/biology/symbiotic_gear.rs                          78                 1    98.72%           4                 0   100.00%          75                 0   100.00%           0                 0         -
layer1/biology/symbiotic_insurgency.rs                   184                 2    98.91%          10                 0   100.00%         153                 1    99.35%           0                 0         -
layer1/biology/symbiotic_parasite.rs                     101                 0   100.00%           4                 0   100.00%         110                 0   100.00%           0                 0         -
layer1/biology/xenoflora_addiction.rs                    156                12    92.31%           7                 0   100.00%         129                 5    96.12%           0                 0         -
layer1/blackout_bazaars.rs                               104                 4    96.15%           6                 0   100.00%          88                 1    98.86%           0                 0         -
layer1/bureaucracy_of_scarcity.rs                         95                 4    95.79%           5                 0   100.00%         100                 3    97.00%           0                 0         -
layer1/cassandra_protocol.rs                             161                 0   100.00%           6                 0   100.00%         126                 0   100.00%           0                 0         -
