Filename                                             Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
layer1/beauty.rs                                         354                 9    97.46%          15                 0   100.00%         238                 6    97.48%           0                 0         -
layer1/biography.rs                                      160                15    90.62%           9                 1    88.89%         119                14    88.24%           0                 0         -
layer1/biology/addiction.rs                              187                 3    98.40%           9                 0   100.00%         154                 1    99.35%           0                 0         -
layer1/biology/agony_extract.rs                           75                 3    96.00%           5                 1    80.00%          78                 2    97.44%           0                 0         -
layer1/biology/biocompatibility.rs                       184                13    92.93%           7                 0   100.00%         134                 6    95.52%           0                 0         -
layer1/biology/clone_vat.rs                              249                15    93.98%           9                 0   100.00%         189                10    94.71%           0                 0         -
layer1/biology/contagion.rs                              161                 0   100.00%           5                 0   100.00%         163                 0   100.00%           0                 0         -
layer1/biology/cryo_shock.rs                              96                 0   100.00%           7                 0   100.00%          89                 0   100.00%           0                 0         -
layer1/biology/cybernetic_ascendancy.rs                  119                 1    99.16%           6                 0   100.00%         112                 0   100.00%           0                 0         -
layer1/biology/cybernetics.rs                            185                10    94.59%           8                 0   100.00%         158                 5    96.84%           0                 0         -
layer1/biology/gene_bank.rs                              254                12    95.28%          11                 1    90.91%         188                11    94.15%           0                 0         -
layer1/biology/genetics/crop_modification.rs              77                 3    96.10%           4                 0   100.00%          63                 2    96.83%           0                 0         -
layer1/biology/genetics/mod.rs                           154                11    92.86%           4                 0   100.00%         123                11    91.06%           0                 0         -
layer1/biology/genetics/splicers_dilemma.rs              151                 6    96.03%           6                 0   100.00%         101                 3    97.03%           0                 0         -
layer1/biology/grafting.rs                                74                 1    98.65%           2                 0   100.00%          50                 0   100.00%           0                 0         -
layer1/biology/gravity_caste.rs                          147                24    83.67%           4                 0   100.00%         117                18    84.62%           0                 0         -
layer1/biology/gut_biome.rs                              186                 2    98.92%          12                 0   100.00%         119                 2    98.32%           0                 0         -
layer1/biology/health.rs                                  71                 7    90.14%           9                 0   100.00%          53                 4    92.45%           0                 0         -
layer1/biology/medical.rs                                324                46    85.80%          12                 1    91.67%         271                31    88.56%           0                 0         -
layer1/biology/rust_lung.rs                              182                 1    99.45%           6                 0   100.00%         123                 1    99.19%           0                 0         -
layer1/biology/symbiotic_parasite.rs                     101                 0   100.00%           4                 0   100.00%         110                 0   100.00%           0                 0         -
layer1/cassandra_protocol.rs                             161                 0   100.00%           6                 0   100.00%         126                 0   100.00%           0                 0         -
layer1/chain_of_command.rs                                76                 2    97.37%           3                 0   100.00%          73                 2    97.26%           0                 0         -
layer1/chemical.rs                                       515                35    93.20%          27                 2    92.59%         379                23    93.93%           0                 0         -
layer1/clothing.rs                                       110                 1    99.09%           5                 0   100.00%          92                 4    95.65%           0                 0         -
layer1/clutter.rs                                        325                 8    97.54%          17                 0   100.00%         214                 6    97.20%           0                 0         -
layer1/combat.rs                                         610                28    95.41%          18                 0   100.00%         478                14    97.07%           0                 0         -
layer1/construction/great_works.rs                       228                 2    99.12%           8                 0   100.00%         169                 2    98.82%           0                 0         -
layer1/construction/material_provenance.rs                88                 2    97.73%           3                 0   100.00%          85                 0   100.00%           0                 0         -
layer1/core/ai_core.rs                                   211                 9    95.73%          10                 0   100.00%         208                 5    97.60%           0                 0         -
layer1/core/chronicle.rs                                 430                 9    97.91%          22                 2    90.91%         262                 6    97.71%           0                 0         -
layer1/core/integration.rs                              1655               968    41.51%         130                15    88.46%        1968               890    54.78%           0                 0         -
layer1/core/map.rs                                       248                 6    97.58%          16                 0   100.00%         160                 8    95.00%           0                 0         -
layer1/corporate_sponsorship.rs                          122                 8    93.44%           6                 0   100.00%         111                 7    93.69%           0                 0         -
layer1/crowding.rs                                       167                 5    97.01%          13                 0   100.00%          98                 3    96.94%           0                 0         -
layer1/cryo.rs                                            55                 1    98.18%           3                 0   100.00%          61                 1    98.36%           0                 0         -
layer1/cryo_prison.rs                                    116                 6    94.83%           6                 0   100.00%          83                 8    90.36%           0                 0         -
layer1/culture/ancestral_graves.rs                        86                 3    96.51%           4                 0   100.00%          58                 1    98.28%           0                 0         -
layer1/culture/animism.rs                                419                34    91.89%          19                 2    89.47%         377                20    94.69%           0                 0         -
layer1/culture/art.rs                                    206                 5    97.57%          10                 2    80.00%         145                 3    97.93%           0                 0         -
layer1/culture/artifacts/mod.rs                          198                 0   100.00%           9                 0   100.00%         145                 0   100.00%           0                 0         -
layer1/culture/artifacts/vr_pod.rs                       129                 0   100.00%           6                 0   100.00%         128                 0   100.00%           0                 0         -
layer1/culture/astrology.rs                               94                 0   100.00%           5                 0   100.00%          83                 0   100.00%           0                 0         -
